id;amount;status;created_at;updated_at;user_id;moderated_at;deleted_account_id;reimbursement_date;cash_request_received_date;money_back_date;transfer_type;send_at;recovery_status;reco_creation;reco_last_update;payback_delay_days;payback_delay_days_cifra
2145;100.0;money_back;23/05/2020;06/07/2020;9489.0;24/05/2020;;;26/05/2020;06/07/2020;regular;;completed;12/06/2020;06/07/2020;<41 * Days>;41
1794;100.0;money_back;14/05/2020;03/06/2020;778.0;15/05/2020;;29/05/2020;17/05/2020;03/06/2020;regular;;completed;29/05/2020;03/06/2020;<17 * Days>;17
2122;100.0;money_back;22/05/2020;13/06/2020;8218.0;23/05/2020;;;27/05/2020;13/06/2020;regular;;;;;<17 * Days>;17
1629;100.0;money_back;08/05/2020;10/06/2020;9068.0;08/05/2020;;;12/05/2020;10/06/2020;regular;;;;;<29 * Days>;29
817;100.0;money_back;07/03/2020;14/04/2020;3162.0;08/03/2020;;06/04/2020;10/03/2020;14/04/2020;regular;;;;;<35 * Days>;35
724;50.0;money_back;22/02/2020;31/03/2020;115.0;22/02/2020;;23/03/2020;25/02/2020;31/03/2020;regular;;;;;<35 * Days>;35
2271;100.0;money_back;28/05/2020;18/09/2020;10503.0;29/05/2020;;;01/06/2020;18/09/2020;regular;;completed;12/06/2020;18/09/2020;<109 * Days>;109
2199;100.0;money_back;26/05/2020;27/06/2020;5430.0;05/06/2020;;25/06/2020;09/06/2020;27/06/2020;regular;;;;;<18 * Days>;18
1245;100.0;money_back;16/04/2020;01/05/2020;6613.0;17/04/2020;;23/04/2020;20/04/2020;01/05/2020;regular;;;;;<11 * Days>;11
898;100.0;money_back;16/03/2020;22/04/2020;4411.0;16/03/2020;;15/04/2020;26/03/2020;22/04/2020;regular;;completed;15/04/2020;22/04/2020;<27 * Days>;27
2152;100.0;money_back;24/05/2020;11/06/2020;3062.0;25/05/2020;;;26/05/2020;11/06/2020;regular;;;;;<16 * Days>;16
20639;50.0;money_back;12/10/2020;18/12/2020;;;30317.0;;16/10/2020;31/10/2020;instant;15/10/2020;;;;<15 * Days>;15
2068;80.0;money_back;20/05/2020;10/06/2020;6500.0;25/05/2020;;;28/05/2020;10/06/2020;regular;;;;;<13 * Days>;13
2284;100.0;money_back;29/05/2020;10/06/2020;9958.0;29/05/2020;;;01/06/2020;10/06/2020;regular;;;;;<9 * Days>;9
1610;100.0;money_back;07/05/2020;09/06/2020;297.0;07/05/2020;;02/06/2020;07/05/2020;09/06/2020;regular;;;;;<33 * Days>;33
2254;100.0;money_back;28/05/2020;17/06/2020;10023.0;28/05/2020;;;30/05/2020;17/06/2020;regular;;;;;<18 * Days>;18
1199;100.0;money_back;15/04/2020;05/05/2020;6272.0;15/04/2020;;22/04/2020;18/04/2020;05/05/2020;regular;;completed;27/04/2020;05/05/2020;<17 * Days>;17
2338;50.0;money_back;30/05/2020;15/06/2020;10560.0;30/05/2020;;;01/06/2020;15/06/2020;regular;;;;;<14 * Days>;14
3898;100.0;direct_debit_rejected;18/06/2020;11/08/2020;16861.0;18/06/2020;;;20/06/2020;02/07/2020;regular;;pending;05/07/2020;11/08/2020;<12 * Days>;12
785;150.0;money_back;03/03/2020;18/03/2020;3587.0;03/03/2020;;10/03/2020;05/03/2020;18/03/2020;regular;;;;;<13 * Days>;13
2109;100.0;money_back;21/05/2020;18/06/2020;9412.0;22/05/2020;;;22/05/2020;18/06/2020;regular;;;;;<27 * Days>;27
1902;100.0;money_back;16/05/2020;10/06/2020;4654.0;23/05/2020;;;26/05/2020;10/06/2020;regular;;;;;<15 * Days>;15
1408;100.0;money_back;28/04/2020;13/05/2020;7391.0;28/04/2020;;12/05/2020;29/04/2020;13/05/2020;regular;;completed;12/05/2020;13/05/2020;<14 * Days>;14
2158;100.0;money_back;25/05/2020;11/06/2020;;26/05/2020;4111.0;;29/05/2020;11/06/2020;regular;;;;;<13 * Days>;13
1893;100.0;money_back;16/05/2020;16/06/2020;4034.0;18/05/2020;;;20/05/2020;16/06/2020;regular;;completed;16/06/2020;16/06/2020;<27 * Days>;27
2268;100.0;money_back;28/05/2020;11/06/2020;;29/05/2020;5582.0;;01/06/2020;11/06/2020;regular;;;;;<10 * Days>;10
2135;100.0;money_back;23/05/2020;17/06/2020;9475.0;23/05/2020;;;29/05/2020;17/06/2020;regular;;;;;<19 * Days>;19
940;100.0;money_back;18/03/2020;27/04/2020;4640.0;19/03/2020;;17/04/2020;20/03/2020;27/04/2020;regular;;;;;<38 * Days>;38
20108;100.0;money_back;09/10/2020;18/12/2020;63894.0;;;;10/10/2020;06/11/2020;instant;09/10/2020;;;;<27 * Days>;27
1390;100.0;money_back;27/04/2020;15/05/2020;2993.0;27/04/2020;;07/05/2020;30/04/2020;15/05/2020;regular;;;;;<15 * Days>;15
2123;100.0;money_back;22/05/2020;19/06/2020;9320.0;22/05/2020;;;26/05/2020;19/06/2020;regular;;;;;<24 * Days>;24
823;100.0;money_back;08/03/2020;15/04/2020;4314.0;08/03/2020;;07/04/2020;10/03/2020;15/04/2020;regular;;;;;<36 * Days>;36
